58.14.0.0 山东省济南市 广电网
58.16.0.0 贵州省贵阳市 联通
58.16.112.0 贵州省黔南布依族苗族自治州 联通
58.16.128.0 贵州省贵阳市 联通
58.16.144.0 贵州省黔东南苗族侗族自治州 联通
58.16.160.0 贵州省黔西南布依族苗族自治州 联通
58.16.176.0 贵州省毕节市 联通
58.16.193.0 贵州省铜仁市 联通
58.17.19.160 江西省南昌市 联通
58.17.48.0 江西省景德镇市 联通
58.17.56.0 江西省萍乡市 联通
58.17.64.0 江西省新余市 联通
58.17.68.0 江西省 联通
58.17.70.0 江西省宜春市 联通
58.17.80.0 江西省吉安市 联通
58.17.84.0 江西省九江市 联通
58.17.86.0 江西省 联通
58.17.88.0 江西省鹰潭市 联通
58.17.96.0 江西省抚州市 联通
58.17.104.0 江西省上饶市 联通
58.17.108.0 江西省南昌市 联通
58.17.112.0 江西省赣州市 联通
58.17.120.0 江西省九江市 联通
58.17.128.0 重庆市重庆市 联通
58.18.0.0 内蒙古自治区兴安盟 联通
58.18.16.0 内蒙古自治区包头市 联通
58.18.32.0 内蒙古自治区鄂尔多斯市 联通
58.18.48.0 内蒙古自治区巴彦淖尔市 联通
58.18.64.0 内蒙古自治区乌海市 联通
58.18.80.0 内蒙古自治区阿拉善盟 联通
58.18.96.0 内蒙古自治区乌兰察布市 联通
58.18.112.0 内蒙古自治区锡林郭勒盟 联通
58.18.128.0 内蒙古自治区赤峰市 联通
58.18.144.0 内蒙古自治区通辽市 联通
58.18.160.0 内蒙古自治区呼和浩特市 联通
58.18.176.0 内蒙古自治区呼伦贝尔市 联通
58.18.196.0 内蒙古自治区通辽市 联通
58.18.212.0 内蒙古自治区巴彦淖尔市 联通
58.18.216.0 内蒙古自治区通辽市 联通
58.18.220.0 内蒙古自治区呼伦贝尔市 联通
58.18.220.4 内蒙古自治区呼伦贝尔市大杨树镇翔宇网吧 联通
58.18.220.8 内蒙古自治区呼伦贝尔市 联通
58.18.220.12 内蒙古自治区呼伦贝尔市阿里河镇无极限网吧 联通
58.18.220.16 内蒙古自治区呼伦贝尔市 联通
58.18.248.0 内蒙古自治区鄂尔多斯市 联通
58.19.0.0 湖北省武汉市 联通
58.19.130.0 湖北省黄冈市 联通
58.19.131.0 湖北省襄阳市 联通
58.19.131.128 湖北省宜昌市 联通
58.19.132.0 湖北省十堰市 联通
58.19.133.0 湖北省孝感市 联通
58.19.134.0 湖北省襄阳市 联通
58.19.135.0 湖北省江汉（天门/仙桃/潜江）区 联通
58.19.136.0 湖北省襄阳市 联通
58.19.137.0 湖北省随州市 联通
58.19.138.0 湖北省宜昌市 联通
58.19.139.0 湖北省恩施土家族苗族自治州 联通
58.19.140.0 湖北省黄石市 联通
58.19.141.0 湖北省咸宁市 联通
58.19.141.128 湖北省荆门市 联通
58.19.142.0 湖北省黄石市 联通
58.19.144.0 湖北省宜昌市 联通
58.19.148.0 湖北省黄石市 联通
58.19.152.0 湖北省荆州市 联通
58.19.156.0 湖北省武汉市 联通
58.19.160.0 湖北省荆门市 联通
58.19.164.0 湖北省潜江市 联通
58.19.166.0 湖北省天门市 联通
58.19.168.0 湖北省随州市 联通
58.19.172.0 湖北省恩施土家族苗族自治州 联通
58.19.176.0 湖北省宜昌市 联通
58.19.180.0 湖北省襄阳市 联通
58.19.184.0 湖北省黄石市 联通
58.19.188.0 湖北省荆州市 联通
58.19.196.0 湖北省十堰市 联通
58.19.200.0 湖北省荆门市 联通
58.19.204.0 湖北省鄂州市 联通
58.19.208.0 湖北省黄冈市 联通
58.19.212.0 湖北省孝感市 联通
58.19.216.0 湖北省天门市 联通
58.19.218.0 湖北省仙桃市 联通
58.19.220.0 湖北省咸宁市 联通
58.19.224.0 湖北省荆州市 联通
58.19.232.0 湖北省襄阳市 联通
58.19.240.0 湖北省宜昌市 联通
58.19.248.0 湖北省黄石市 联通
58.20.0.0 湖南省长沙市 联通
58.20.128.0 湖南省岳阳市 联通
58.20.160.0 湖南省衡阳市 联通
58.20.192.0 湖南省株洲市 联通
58.20.224.0 湖南省湘潭市 联通
58.20.240.0 湖南省益阳市 联通
58.20.248.0 湖南省郴州市 联通
58.21.0.0 吉林省长春市 联通
58.21.128.0 吉林省辽源市 联通
58.21.160.0 吉林省白山市 联通
58.21.192.0 吉林省白城市 联通
58.22.0.0 福建省福州市 联通
58.22.128.0 福建省莆田市 联通
58.22.135.0 福建省厦门市 联通
58.22.136.0 福建省莆田市 联通
58.22.160.0 福建省宁德市 联通
58.22.176.0 福建省南平市 联通
58.22.192.0 福建省三明市 联通
58.22.224.0 福建省龙岩市 联通
58.23.0.0 福建省厦门市 联通
58.23.64.0 福建省泉州市 联通
58.23.96.0 福建省漳州市 联通
58.23.128.0 福建省厦门市 联通
58.23.144.0 福建省泉州市 联通
58.23.160.0 福建省漳州市 联通
58.23.192.0 福建省泉州市 联通
58.23.224.0 福建省厦门市 联通
58.24.0.0 上海市静安区 有线宽带
58.24.24.0 上海市普陀区 有线宽带
58.24.40.0 上海市长宁区 有线宽带
58.24.80.0 上海市普陀区 有线宽带
58.24.104.0 上海市徐汇区 有线宽带
58.24.136.0 上海市普陀区 有线宽带
58.24.144.0 上海市闸北区 有线宽带
58.24.168.0 上海市虹口区 有线宽带
58.24.176.0 上海市浦东新区 有线宽带
58.24.192.0 上海市杨浦区 有线宽带
58.24.208.0 上海市浦东新区 有线宽带
58.25.0.0 上海市上海市 有线宽带
58.26.0.0 马来西亚 NULL
